"dates","titles","end_price","start_price","high_price","low_price","amount"
"2013-05-06","SK이노베이션, 중소 협력사 산업안전까지 챙긴다",149000,148500,152500,148000,457267
"2013-05-07",NA,149500,150500,151500,149000,223412
"2013-05-08","SK 주유소에 가면 어린이 도서관이 ‘쑥쑥’",149500,150500,150500,148000,165471
"2013-05-09","SK에너지 인천 콤플렉스, 트레이딩 사업 분할",153000,151500,155000,150000,552961
"2013-05-10",NA,151000,153500,153500,150500,168873
"2013-05-13","SK이노베이션, 장애 학생들의 동심에 희망을 선물하다",151500,149500,152500,147500,132731
"2013-05-14","SK이노베이션, 스마트 세상의 숨은 강자로 우뚝선다",151500,150500,153000,150000,238641
"2013-05-15",NA,152500,152500,154000,151000,190448
"2013-05-16",NA,153000,153000,155000,152500,269599
"2013-05-20",NA,154000,154000,155500,152000,306051
"2013-05-21",NA,154000,155500,156500,154000,201188
"2013-05-22",NA,153500,154000,155500,151500,249492
"2013-05-23","SK종합화학, 글로벌 무대에서 ‘넥슬렌’을 외치다",148000,152000,152500,147000,562242
"2013-05-24","SK에너지, 고객 행복의 지평을 넓히다",146500,148000,148500,144500,367824
"2013-05-27",NA,145500,145000,146000,143500,278343
"2013-05-28",NA,145000,144500,147000,144500,361912
"2013-05-29",NA,144500,146000,146500,143000,450327
"2013-05-30",NA,145000,144000,145500,143500,194796
"2013-05-31",NA,149500,145500,151500,145500,620508
"2013-06-03",NA,149000,148000,151000,147000,229062
"2013-06-04",NA,149500,150500,152000,148500,305884
"2013-06-05",NA,147500,149500,151000,147500,182489
"2013-06-07",NA,147000,146500,148500,146000,161940
"2013-06-10",NA,146500,148500,149500,145500,160629
"2013-06-11",NA,144000,146500,147000,142000,401909
"2013-06-12",NA,142000,142000,143000,140500,308943
"2013-06-13",NA,140000,142000,143500,140000,422622
"2013-06-14",NA,141000,141500,142000,140000,231697
"2013-06-17",NA,140500,139000,142000,139000,229531
"2013-06-18",NA,138500,140500,140500,135000,337613
"2013-06-19",NA,137000,138500,139000,135000,328342
"2013-06-20","조윤선 장관-구자영 부회장, 가족친화경영 강화 ‘공감’",132500,133500,135000,130500,507761
"2013-06-21",NA,129500,128000,130000,127000,370625
"2013-06-24",NA,128500,129500,131500,128000,219566
"2013-06-25",NA,129500,128000,132000,127500,363955
"2013-06-26",NA,130000,131000,131500,128500,206823
"2013-06-27",NA,133000,131500,135500,131500,295539
"2013-06-28","SK종합화학, 7년 공들인 ‘우한 프로젝트’ 결실",135500,134500,136500,134000,369812
"2013-07-01","SK이노베이션, 5개 자회사 체제로 재편… ‘따로 또 같이’ 성장 박차",136500,134500,137500,134500,208945
